student_id,term,campus,modality,discipline,discipline_area,workload_hours,attendance_pct,exam1_grade,exam2_grade,project_grade,participation_grade,final_grade,letter_grade,status,approval,fail_reason,age_range,employment_status
S0001,2024.2,Campus B,Presencial,Data Engineering II,Engineering,32,100.0,84.2,70.4,83.4,97.7,81.8,B,Aprovado,1,,25-29,Desempregado
S0001,2024.2,Campus B,Presencial,Big Data & Spark,Engineering,32,82.3,59.8,76.8,65.9,75.3,68.1,D,Reprovado,0,low_grade,25-29,Desempregado
S0001,2025.1,Campus B,Presencial,Streaming Systems,Engineering,48,81.6,72.3,58.2,77.8,78.6,71.6,C,Aprovado,1,,25-29,Desempregado
S0001,2024.2,Campus B,Presencial,MLOps Foundations,ML/AI,32,84.1,83.9,60.3,79.1,74.3,75.1,C,Aprovado,1,,25-29,Desempregado
S0001,2024.1,Campus B,Híbrido,Feature Engineering,ML/AI,48,89.4,75.1,72.6,73.0,82.0,74.3,C,Aprovado,1,,25-29,Desempregado
S0001,2024.2,Campus B,Presencial,Statistics for Data,Analytics,48,79.8,73.9,66.4,66.2,82.9,69.8,D,Trancado,0,withdraw,25-29,Desempregado
S0002,2025.1,Campus B,Presencial,Data Engineering II,Engineering,32,71.9,88.2,73.9,73.9,77.8,77.9,C,Reprovado,0,low_attendance,35-39,Meio período
S0002,2025.1,Campus B,Presencial,Big Data & Spark,Engineering,32,78.0,83.7,82.5,90.0,79.7,85.5,B,Aprovado,1,,35-39,Meio período
S0002,2024.2,Campus B,Presencial,Streaming Systems,Engineering,32,72.8,83.5,82.8,74.2,70.1,78.3,C,Reprovado,0,low_attendance,35-39,Meio período
S0002,2024.1,Campus B,Presencial,MLOps Foundations,ML/AI,32,72.0,80.0,88.9,79.6,73.6,81.4,B,Reprovado,0,low_attendance,35-39,Meio período
S0002,2025.1,Campus B,Presencial,Feature Engineering,ML/AI,48,83.9,81.1,70.9,72.3,90.3,76.0,C,Aprovado,1,,35-39,Meio período
S0002,2024.1,Campus B,Presencial,Statistics for Data,Analytics,32,84.1,65.3,67.5,77.5,83.3,72.5,C,Aprovado,1,,35-39,Meio período
S0003,2025.1,Campus A,Híbrido,Data Engineering II,Engineering,32,62.8,74.7,76.7,100.0,61.9,84.0,B,Reprovado,0,low_attendance,30-34,Meio período
S0003,2024.2,Campus A,Híbrido,Big Data & Spark,Engineering,32,85.0,85.7,82.0,82.9,80.5,83.1,B,Aprovado,1,,30-34,Meio período
S0003,2024.2,Campus A,Online,Streaming Systems,Engineering,48,65.1,64.2,73.2,69.0,57.3,67.7,D,Reprovado,0,low_attendance,30-34,Meio período
S0003,2024.1,Campus A,Online,MLOps Foundations,ML/AI,32,75.7,64.6,71.1,85.1,69.5,74.9,C,Aprovado,1,,30-34,Meio período
S0003,2024.2,Campus A,Presencial,Feature Engineering,ML/AI,32,89.6,82.4,59.2,62.8,92.2,69.7,D,Reprovado,0,low_grade,30-34,Meio período
